x,y,z
3.42469156,0.59115917,4.53367948
3.90112928,0.57731017,0.00644801
3.66821651,3.37418822,1.74828095
3.57116696,0.64292252,3.63594030
2.88461126,1.87717781,3.76954066
3.74591677,3.88692456,5.04883059
4.54320612,3.73826676,3.33811956
0.67723531,2.13355941,4.53919210
3.96249260,4.30284698,2.92105146
4.33127191,3.82952267,3.47955651
3.56978176,0.57441279,3.89897994
3.39660206,0.50191477,1.56104493
3.28107444,0.61203398,3.87916150
4.32099588,3.57125430,3.21173846
4.19320719,3.30922988,3.33171768
3.58946801,0.68241964,4.15697410
3.33798967,1.20170430,2.08420090
3.97141418,0.74928038,4.85849296
0.49579799,2.24777543,4.38399648
4.69746934,4.44386667,0.82459362
3.12704399,0.65427148,3.66285895
0.63590127,2.24706258,4.79121559
0.73680724,2.44672153,4.92358943
4.44722473,3.98372764,3.22151667
3.65155607,0.60287341,5.00427318
4.82729966,4.58875615,3.84115391
3.54893834,0.46136109,4.32364468
3.45197497,0.41614392,4.94587958
3.77648620,2.95722299,4.12513825
1.64755321,2.69640265,0.50794522
3.51201955,0.19709332,4.41758180
3.78177033,0.64032508,4.36890567
3.65297217,0.55734802,4.72268579
4.18315891,3.79870836,3.25593920
0.14395851,4.69725873,4.17618326
3.24367330,0.35634327,0.02909781
3.36194543,0.68294592,3.47895301
2.68335249,1.70268917,3.83371293
0.38070390,2.25453336,4.62542008
0.69426842,2.71669735,0.37047141
4.63116202,4.42324790,2.38170949
4.67550834,0.73306137,3.50495615
3.89700620,0.65352072,4.62202387
3.76438229,4.00029975,4.77463899
3.47450102,0.23928776,4.70863098
0.23186158,4.43807693,4.10157736
4.22806828,4.00088970,3.06754721
4.21873650,4.27001009,3.05120675
0.11277621,2.29771549,4.58411111
4.68362670,4.53316153,3.59048691
